[0.053s] Invoking command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/newton/autonomous-robots/clearpath_workspace/src/clearpath_common/clearpath_manipulators_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description
[0.548s] -- The C compiler identification is GNU 11.4.0
[0.548s] -- The CXX compiler identification is GNU 11.4.0
[0.548s] -- Detecting C compiler ABI info
[0.548s] -- Detecting C compiler ABI info - done
[0.548s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.548s] -- Detecting C compile features
[0.548s] -- Detecting C compile features - done
[0.548s] -- Detecting CXX compiler ABI info
[0.652s] -- Detecting CXX compiler ABI info - done
[0.683s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.684s] -- Detecting CXX compile features
[0.685s] -- Detecting CXX compile features - done
[0.691s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[1.056s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[1.201s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[1.469s] -- Configuring done
[1.493s] -- Generating done
[1.494s] -- Build files have been written to: /home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description
[1.505s] Invoked command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/newton/autonomous-robots/clearpath_workspace/src/clearpath_common/clearpath_manipulators_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description
[1.510s] Invoking command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description -- -j8 -l8
[1.607s] Invoked command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description -- -j8 -l8
[1.608s] Invoking command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description
[1.629s] -- Install configuration: ""
[1.629s] -- Execute custom install script
[1.629s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/arm/franka.urdf.xacro
[1.652s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/arm/kinova_gen3_6dof.urdf.xacro
[1.665s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/arm/kinova_gen3_7dof.urdf.xacro
[1.685s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/arm/kinova_gen3_lite.urdf.xacro
